1024,"Oil pressure",0,10000,1,"KPa",16,0,
1025,"Coolant temperature",-50,200,1,"Degrees C","16 S",0,
1026,"Oil temperature",-50,200,1,"Degrees C","16 S",0,
1027,"Fuel level",0,130,1,"%",16,0,
1028,"Charge alternator voltage",0,40,0.1,"V",16,0,
1029,"Battery voltage",0,40,0.1,"V",16,0,
1030,"Engine speed",0,6000,1,"RPM",16,0,
1031,"Generator frequency",0,70,0.1,"Hz",16,0,
1032,"Generator L1-N voltage",0,18000,0.1,"V",32,0,1033
1033,"Generator L1-N voltage",0,18000,0.1,"V",32,0,
1034,"Generator L2-N voltage",0,18000,0.1,"V",32,0,1035
1035,"Generator L2-N voltage",0,18000,0.1,"V",32,0,
1036,"Generator L3-N voltage",0,18000,0.1,"V",32,0,1037
1037,"Generator L3-N voltage",0,18000,0.1,"V",32,0,
1038,"Generator L1-L2 voltage",0,30000,0.1,"V",32,0,1039
1039,"Generator L1-L2 voltage",0,30000,0.1,"V",32,0,
1040,"Generator L2-L3 voltage",0,30000,0.1,"V",32,0,1041
1041,"Generator L2-L3 voltage",0,30000,0.1,"V",32,0,
1042,"Generator L3-L1 voltage",0,30000,0.1,"V",32,0,1043
1043,"Generator L3-L1 voltage",0,30000,0.1,"V",32,0,
1044,"Generator L1 current",0,99999.9,0.1,"A",32,0,1045
1045,"Generator L1 current",0,99999.9,0.1,"A",32,0,
1046,"Generator L2 current",0,99999.9,0.1,"A",32,0,1047
1047,"Generator L2 current",0,99999.9,0.1,"A",32,0,
1048,"Generator L3 current",0,99999.9,0.1,"A",32,0,1049
1049,"Generator L3 current",0,99999.9,0.1,"A",32,0,
1050,"Generator earth current",0,99999.9,0.1,"A",32,0,1051
1051,"Generator earth current",0,99999.9,0.1,"A",32,0,
1052,"Generator L1 watts",-99999999,99999999,1,"W","32 S",0,1053
1053,"Generator L1 watts",-99999999,99999999,1,"W","32 S",0,
1054,"Generator L2 watts",-99999999,99999999,1,"W","32 S",0,1055
1055,"Generator L2 watts",-99999999,99999999,1,"W","32 S",0,
1056,"Generator L3 watts",-99999999,99999999,1,"W","32 S",0,1057
1057,"Generator L3 watts",-99999999,99999999,1,"W","32 S",0,
1058,"Generator current lag/lead",-180,180,1,"degrees","16 S",0,
